ID,event.title,Volumes,vol.ID (from Volumes),event.type,event.month,event.date,event.year,event.location,event.address,event.city,event.state,event.country,source.publication,notes
120,Camden Nursery Facilities Demonstration,Babe1.13,Babe1.13,Protest Report,06,13,1970,NA,NA,Camden,NA,GBR,"""Felicity Todd, Socialist Woman, England""",Camden Women's Action Group demonstrating about lack of nursery facilities - march through Camden Town and Kentish Town distributing leaflets
121,Recycling Initiative for Fundraising,Babe1.13,Babe1.13,Call to Organize,NA,NA,NA,NA,NA,Los Angeles,CA,USA,L.A. Women's Center Newsletter,L.A. Women's Center running a recycling project to raise funds for the W.L. Organization
122,Women's Strike Day - Philadelphia,Babe1.13,Babe1.13,Protest Report,08,26,1970,Rittenhouse Square,NA,Philadelphia,PA,USA,"""Joan-Women's Liberation One, L.A.""",celebration of Women's Rights Day - Philadelphia women's liberation joined by other groups
123,Women's Strike Day - Chicago,Babe1.13,Babe1.13,Protest Report,08,26,1970,Civic Center,NA,Chicago,IL,USA,"""Joan-Women's Liberation One, L.A.""","similar Women's Rights Day festivities - rally at Civic Center with speakers from different organizations focusing on three national strike demands: free abortion on demand, community controlled day care, and equal opportunity in employment and employment"
124,Women's Strike Day - Chicago,Babe1.13,Babe1.13,Protest Report,08,26,1970,Grant Park,NA,Chicago,IL,USA,"""Joan-Women's Liberation One, L.A.""","later half of the day - rally at the park with skits, historical readings, songs, etc."
125,Women's Strike Day - New York,Babe1.13,Babe1.13,Protest Report,08,26,1970,NA,5th Ave,New York City,NY,USA,"""Joan-Women's Liberation One, L.A.""","over 15,000 women and 10,000 supporters - parade commemorating the 50th anniversary of Women's Suffrage"
126,Women's Strike Day - Berkeley,Babe1.13,Babe1.13,Protest Report,08,26,1970,Provo Park,NA,Berkeley,CA,USA,"""Joan-Women's Liberation One, L.A.""",rally and pot luck followed by gathering of women artists on campus 
127,Women's Strike Day - San Francisco,Babe1.13,Babe1.13,Protest Report,08,26,1970,NA,NA,San Francisco,CA,USA,"""Joan-Women's Liberation One, L.A.""","no notes given - in same entry as Berkeley
"
128,Women's Strike Day - San Diego,Babe1.13,Babe1.13,Protest Report,08,26,1970,Civic Center,NA,San Diego,CA,USA,"""Joan-Women's Liberation One, L.A.""","jointly sponsored rally by San Diego State College Women's Liberation, UC SD Women's Liberation Front, Daughters of the Second American Revolution, and the San Diego Chapter of NOW"
129,Women's Strike Day - Los Angeles,Babe1.13,Babe1.13,Protest Report,08,26,1970,Department of Human Resources,NA,Los Angeles,CA,USA,"""Joan-Women's Liberation One, L.A.""","gathering of 500 women at unemployment office to protest job discrimination and demand equal pay for equal work, equal employment and promotion opportunities"
130,Miss America & Playboy Protest,Babe1.13,Babe1.13,Call to Organize,09,07,1970,NA,NA,Atlantic City,NJ,USA,Women's Liberation Coalition of Michigan Newsletter,call to protest at 50th anniversary of Miss America Pageant - during the same week and also in Atlantic City calling for protest at Playboy Club to make connection
131,Inside Out,Babe1.13,Babe1.13,Event Advertisement,09,16,1970,Berkeley Women's Center,NA,Berkeley,CA,USA,NA,"advertisement for Inside Out - gay women's rap, weekly starting in september"
132,Gay Women's Liberation Open House,Babe1.13,Babe1.13,Event Advertisement,NA,NA,NA,Berkeley Women's Center,1126 Addison St,Berkeley,CA,USA,NA,advertisement for Open House sponsored by Gay Women's Liberation weekly
133,Linda Kindred Concert,Babe1.13,Babe1.13,Event Advertisement,09,17,1970,Freight & Salvage,1827 San Pablo,NA,CA,USA,NA,"advertisement for concert by Linda Kindred (of Ripple), singing ""Gutsy Blues"""
134,Interview of Beverly Axelrod,Babe1.13,Babe1.13,Event Advertisement,09,06,1970,KPFA Radio Station,NA,NA,CA,USA,NA,advertisement for radio interview on French Women's Liberation by Beverly Axelrod
135,Gay Women's Liberation Orientation Workshop,Babe1.13,Babe1.13,Event Advertisement,09,03,1970,Women's Liberation Office,317 Sanchez,San Francisco,CA,USA,NA,advertisement for orientation workshop
136,Gay Women's Liberation Mass Meeting,Babe1.13,Babe1.13,Event Advertisement,09,04,1970,NA,2620 Buchanan St,San Francisco,CA,USA,NA,advertisement for mass meeting of Gay Women's Liberation
137,Brick in a Bra,Babe1.14,Babe1.14,Protest Report,09,10,1970,The Playboy Club,736 Montgomery St,San Francisco,CA,USA,San Francisco Chronicle,two bricks - one wrapped in a bra - thrown through window at the Playboy Club
138,ICS Hormone Experimentation,Babe1.14,Babe1.14,Advocacy,NA,NA,NA,NA,NA,NA,NA,NA,Female Liberation News #15,"Dr. Choh Hao Li experimenting with a hormone to bring about ""safe, natural"" abortions and termporary, reversible steriliations for men"
139,Shell Service Station Picket,Babe1.14,Babe1.14,Protest Report,NA,NA,NA,Shell ,NA,Berkeley,CA,USA,NA,"Succesful picket of shell service station after owner promised to fix a sister's car - took over a day to repair, and responded to the sister's demand for a deduction by refusing to take her credit card and uping her charge to $60 cash"
140,Investigation at University of Michigan,Babe1.14,Babe1.14,Advocacy,NA,NA,NA,University of Michigan,NA,NA,MI,USA,NA,"Notice of investigation at University of Michigan by Health, Education, and Welfare officials for discrimination on the basis of sex in staff appointments and student admission"
141,ERA Debate,Babe1.14,Babe1.14,Advocacy,NA,NA,NA,NA,NA,NA,DC,USA,NA,Overview of debate raised by Senator Sam J. Ervin Jr. (Dem NC) over whether the ERA would make segregated (by sex) bathrooms illegal - input from law professor at University of Chicago and Senator Marlow W. Cook (Rep-KY)
142,Stereotyping Textbooks by Virginia Kidd,Babe1.14,Babe1.14,Oppression Report,NA,NA,NA,NA,NA,NA,CA,USA,San Francisco Chronicle,"report of a new textbook for four to eight-year-olds that reinforces gender stereotypes, published by Harper and Row and written by Virgina Kidd, a Sacramento State College educator"
143,Protest of Firing Over Childcare,Babe1.14,Babe1.14,Protest Report,08,26,1970,Morell Meat ,NA,Chicago,IL,USA,NA,After the end of a rally on Women's Strike Day - group of women moved to Morell Meat to protest a firing of a sister after she brought her child to work to force her boss to provide childcare - forced to reinstate the sister
144,Resignation from Democratic Party's Committee on National Priorities,Babe1.14,Babe1.14,Advocacy,NA,NA,NA,NA,NA,NA,NA,USA,NA,"Dr. Edgar Bergman maintained that ""raging hormonal influences"" of menstruation made women incapable of handling top jobs forced to resign - opinion disclosed in exchange with Rep Patsy Mink (D-Hawaii); additional debate reported as well"
145,Day in the Park,Babe1.14,Babe1.14,Event Advertisement,09,20,1970,NA,26th and Vicente,San Francisco,CA,USA,NA,ad for a women's day in the park - picnic and baseball game - phone number for more information
146,Inside Out,Babe1.14,Babe1.14,Event Advertisement,NA,NA,NA,Berkeley Women's Center,NA,Berkeley,CA,USA,NA,"advertisement for Inside Out - gay women's rap, weekly starting in september"
147,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,10,31,1970,NA,NA,Jacksonville,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
148,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,03,1970,University of Minnesota,NA,Minneapolis,MN,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
149,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,06,1970,Northern Illinois University,NA,DeKalb,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
150,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,07,1970,"University of Chicago, Mandell Hall",NA,Chicago,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
151,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,09,1970,"Northwestern University, Cohn Auditorium",NA,Evanston,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
152,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,09,1970,"Notre Dame University, Washington Hall",NA,Notre Dame,IN,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
153,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,11,1970,University of Toledo,NA,Toledo,OH,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
154,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,13,1970,Fifth Estate Coffee House,NA,Detroit,MI,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
156,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,14,1970,Fifth Estate Coffee House,NA,Detroit,MI,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
157,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,22,1970,"University of Indiana, I.U. Auditorium",NA,Bloomington,IN,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
158,Mime Troupe Women's Liberation Play Performance,Babe1.15,Babe1.15,Event Advertisement,11,24,1970,Washington University,NA,St. Louis,MO,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
159,Inside Out,Babe1.15,Babe1.15,Event Advertisement,NA,NA,NA,Berkeley Women's Center,NA,Berkeley,CA,USA,NA,"advertisement for Inside Out - gay women's rap, weekly starting in september"
160,First Meeting of National Association of Law Women,Babe1.15,Babe1.15,Meeting Report,NA,NA,NA,New York University Law School,NA,New York City,NY,USA,Margot,17 schools represented - establish communications network and plans for attack on discriminatory firms
161,Women's Legal Defense Fund,Babe1.15,Babe1.15,Advocacy,NA,NA,NA,Human Rights for Women,"PO Box 7402, Benjamin Franklin Station",NA,DC,USA,Margot,nonprofit corporation in DC organized to provide free legal assistance to women - also sharing information on legal status of women
162,Women's Poetry Reading,Babe1.15,Babe1.15,Event Advertisement,10,15,1970,"SF State, Poetry Center",NA,San Francisco,CA,USA,NA,Alta and Judy Grahn scheduled to read
163,Dinner and Slideshow of Women in Cuba,Babe1.15,Babe1.15,Event Advertisement,10,17,1970,Women's Center,1126 Allison ,Berkeley,CA,USA,NA,community dinner as well as slideshow of images from sisters from San Francisco's time in Cuba
164,Work and Wrap at the Center,Babe1.15,Babe1.15,Event Advertisement,10,11,1970,Women's Center,1126 Allison,Berkeley,CA,USA,NA,seeking women to come mobilize to paint the women's center - breaking for discussion while working
165,Confiscation of Babe Papers,Babe1.15,Babe1.15,Oppression Report,NA,NA,NA,NA,NA,San Francisco,CA,USA,NA,Babe papers confiscated from sister walking into Los Siete trial as dangerous material - one missing when she collected them on the way out
166,All-Women's Dance,Babe1.15,Babe1.15,Event Advertisement,10,17,1970,NA,824 Grove,San Francisco,CA,USA,NA,all women's dance being held at private residence with a ballroom - starting around 8:30
167,All-Women's Volleyball Games,Babe1.15,Babe1.15,Event Advertisement,NA,NA,NA,Live Oak Park,NA,Berkeley,CA,USA,NA,listing for volleyball games on wednesday mornings - contact information for more details
168,Halloween Party,Babe1.15,Babe1.15,Event Advertisement,NA,NA,NA,NA,6169 Harwood,NA,CA,USA,NA,"ad for halloween party - children welcome - offering body painting, magic, mystery, and music - 75 cent entry"
169,Totland Playground Usage,Babe1.15,Babe1.15,Call to Organize,NA,NA,NA,Berkeley City Council,NA,Berkeley,CA,USA,NA,seeking women to join group confronting the city council over private school's aim to have exclusive use of the clubhouse at Totland Playground
170,Funding Report,Babe1.16,Babe1.16,"Oppression Report,Advocacy",NA,NA,NA,NA,NA,Pittsburgh,PA,USA,G.H.F. Gardner,letter written in regarding list of agencies receiving money from the United Fund - marking difference in amounts between Boys and Girls Scouts and the YMCA and YWCA - noting allocation for Boy's clubs but no Girls clubs
171,Supreme Court Report,Babe1.16,Babe1.16,Advocacy,NA,NA,NA,Supreme Court,NA,NA,DC,USA,Margot,"report of SCOTUS refusing to hear appeal of Federal District Court ruling Wisconsin abortion statute unconstitutional meaning lower court ruling will stand - will hear case on DC physician who's abortion conviction was thrown out in a lower federal court, first time ruling on constitutionality of abortion statute - will also hear the first Title VII case to go all the way up, woman denied assembly line job because of being a mother"
172,Switzerland Women Win the Vote,Babe1.16,Babe1.16,Advocacy,NA,NA,NA,NA,NA,Zurich,NA,CHE,NA,women of Zurich Switzerland got vote after longer struggle than was necessary in US - voted to pass new ruling allowing restaurants to stay open past 12 that was unable to pass under full male electorate
173,NOW Charges City of Berkeley with Sexism,Babe1.16,Babe1.16,Protest Report,09,22,1970,NA,NA,Berkeley,CA,USA,Marijean Suelzle,"NOW presented demands at Berkeley City Hall meeting - supplied in 6 page paper to members before meeting and presented by president of the chapter Marijean Suelzle: universal childcare, pass resolution protesting limitation of childcare facilities to present AFDC recipients, pass resolution for repeal of all abortion laws, adopt policy of equal opportunity in municipal employment, policewoman on duty at all times for cases of assault or rape, and wider publication of free contraception and abortion services through city health services"
174,Berkeley Co-Op Protest,Babe1.16,Babe1.16,Protest Report,10,12,1970,NA,NA,Berkeley,CA,USA,NOW Newsletter-Berkeley,NOW and Women of the Free Future joined together to challenge sexist hiring practices of Berkeley Co-Op - referred to Personnel Committe - committee voted to urge hiring of at least 40% women in all job categories and eliminate weight lifting as criteria for management training - refusal to allow women to speak at Board meetings
175,Edmonton Activism,Babe1.16,Babe1.16,"Advocacy,Protest Report",NA,NA,NA,NA,NA,Edmonton,AB,CAN,Marijean Suelzle,"report on activities of Edmonton group (no identifier) - opening of abortion counseling clinic, picketing hospital board and Medical Association meetings, focus on daycare and T.V. script for educational programming on discrimination of women"
176,Court Case Over Home-Economics Requirement,Babe1.16,Babe1.16,Protest Report,NA,NA,NA,Roosevelt High School,NA,Seattle,WA,USA,The Militant,"Chris Robinson, a 16 year old, going to court to have female-only requirement of home-ec to graduate declared unconstitutional - suit being co-filed with 4 other high school women around the state with aid of ACLU - will also be organizing a women's liberation group for Seattle high schools"
177,Sacramento Legislative Victories,Babe1.16,Babe1.16,Advocacy,NA,NA,NA,NA,NA,Sacramento,CA,USA,NA,"SB907 and SB1302 sponsored by Sen. Mervyn Dymally of L.A. to: require trustees of state colleges to eliminate policies affecting employment status of women, and require State Universities of CA to take similar steps and assure advancement opportunities for female employees - also senate approved but not yet turned to law another by Dymally requiring accurate representation of women in text books"
178,Texas Women's Liberation Conference,Babe1.16,Babe1.16,Meeting Report,09,26,1970,NA,NA,Austin,TX,USA,The Militant,"over 250 women gathered for conference hosted by Austin Women's Liberation from 30 diff cities - wide age ranges, students, working women, union org, professional women, sizable number of Black and Chicano women, entire female staff of Valley Farm Workers Organizing Committee"
179,Mass Demonstration Against Texas Abortion Legislature,Babe1.16,Babe1.16,Call to Organize,NA,NA,NA,NA,NA,Austin,TX,USA,The Militant,resolution from abortion and birth control workshop at Texas Women's Liberation Conference - call for conference to be held in Dallas in November to call a mass demonstration against abortion legislature to be held in January when it reconvenes
180,Demands to Peoples Revolutionary Constitutional Convention,Babe1.16,Babe1.16,Protest Report,NA,NA,NA,NA,NA,NA,NA,USA,NA,reprint of demands of the lesbian workshop which were presented to the Peoples Revolutionary Constitutional Convention and subsequently ignored by the Panthers and others present - extended into separate article in issue (p4-5)
181,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,10,31,1970,NA,NA,Jacksonville,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
182,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,03,1970,University of Minnesota,NA,Minneapolis,MN,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
183,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,06,1970,Northern Illinois University,NA,DeKalb,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
184,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,07,1970,"University of Chicago, Mandell Hall",NA,Chicago,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
185,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,09,1970,"Northwestern University, Cohn Auditorium",NA,Evanston,IL,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
186,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,10,1970,"Notre Dame University, Washington Hall",NA,Notre Dame,IN,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
187,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,11,1970,University of Toledo,NA,Toledo,OH,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
188,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,13,1970,Fifth Estate Coffee House,NA,Detroit,MI,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
189,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,14,1970,Fifth Estate Coffee House,NA,Detroit,MI,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
190,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,22,1970,"University of Indiana, I.U. Auditorium",NA,Bloomington,IN,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
191,Mime Troupe Women's Liberation Play Performance,Babe1.16,Babe1.16,Event Advertisement,11,24,1970,Washington University,NA,St. Louis,MO,USA,NA,"advertisement for performance of women's liberation play - script printed in issue - women from Free Women's Press accompanying them
"
192,Women and The Revolutionary Peoples Constitution Meeting,Babe1.16,Babe1.16,Event Advertisement,11,01,1970,Glide Church,NA,San Francisco,CA,USA,NA,meeting to discuss Women and The Revolutionary People's Constitution (previous article) - discussing how women can contribute to the third world movement
193,All-Women's Volleyball Games,Babe1.16,Babe1.16,Event Advertisement,NA,NA,NA,Live Oak Park,NA,Berkeley,CA,USA,NA,listing for volleyball games on wednesday mornings - contact information for more details
194,Harwood House Film Series,Babe1.16,Babe1.16,Event Advertisement,11,06,1970,Harwood House Women's Commune,6169 Harwood Ave,Oakland,CA,USA,NA,ad for women's commune beginning a film series on women and relevant subjects - three short films and discussion
195,San Francisco Women's Liberation Office Monday Meetings,Babe1.16,Babe1.16,Event Advertisement,NA,NA,NA,San Francisco Women's Liberation Office,317 Sanchez,San Francisco,CA,USA,NA,"ad for monday meetings on working in the office neighborhood
"
196,San Francisco Women's Liberation Office Tuesday Meetings,Babe1.16,Babe1.16,Event Advertisement,NA,NA,NA,San Francisco Women's Liberation Office,317 Sanchez,San Francisco,CA,USA,NA,ad for tuesday meetings on health care
197,San Francisco Women's Liberation Office Wednesday Meetings,Babe1.16,Babe1.16,Event Advertisement,NA,NA,NA,San Francisco Women's Liberation Office,317 Sanchez,San Francisco,CA,USA,NA,ad for wednesday meetings as media workshop
198,San Francisco Women's Liberation Office Thursday Meetings,Babe1.16,Babe1.16,Event Advertisement,NA,NA,NA,San Francisco Women's Liberation Office,317 Sanchez,San Francisco,CA,USA,NA,ad for thursday meetings for abortion counseling
199,San Francisco Women's Liberation Office Friday Meetings,Babe1.16,Babe1.16,Event Advertisement,NA,NA,NA,San Francisco Women's Liberation Office,317 Sanchez,San Francisco,CA,USA,NA,ad for friday meetings as childcare and rap center
200,Halloween Party,Babe1.16,Babe1.16,Event Advertisement,NA,NA,NA,NA,6169 Harwood,NA,CA,USA,NA,"ad for halloween party - children welcome - offering body painting, magic, mystery, and music - 75 cent entry"
201,Report of Rape,Babe1.17,Babe1.17,Oppression Report,12,01,1970,NA,NA,San Francisco,CA,USA,San Francisco Chronicle,reprint of report of the kidnapping and rape of a 26 year old in San Francisco - includes names and addresses of the offenders
202,Women of the Free Future Demands for Eliminating Rape,Babe1.17,Babe1.17,Call to Organize,NA,NA,NA,NA,NA,Berkeley,CA,USA,NA,list of demands by Women of the Free Future toward eliminating rape by minimizing the environmental conditions that make it likely for rape to occur - call for protest at City Council meeting to make demands heard - names and numbers given for further info
203,Bay Area Regional Conference of the Revolutionary Constitutional Convention,Babe1.17,Babe1.17,Meeting Report,11,14,1970,NA,NA,Berkeley,CA,USA,NA,"conference meeting to begin working out ideals and strategy for an emerging social order - printing of major portions of three proposals (2 pages): The Rights of Children, Women's Workshop on Sexual Self-Determination, and Self-Determination for Gay People"
204,Children's Festival,Babe1.17S,Babe1.17S,Event Advertisement,03,29,1971,Provo Park,NA,NA,CA,USA,NA,"front cover ad for Children's Festival - sun, friends, food, games, music, and an Easter egg hunt"
205,Berkeley Community Theater Protest,Babe1.17S,Babe1.17S,Call to Organize,03,31,1971,Berkeley Community Theater,NA,Berkeley,CA,USA,NA,front cover ad for protest of helicopters and demands for childcare at Berkeley Community Theatre - request to bring children
206,Breaking the Shackles Conference,Babe1.1,Babe1.1,Event Advertisement,01,30,1970,UC Boalt Hall,NA,Berkeley,CA,USA,NA,"conference on the status of women to be held on UC Berkeley's campus to start the ball rolling on equality of the sexes - speakers, discussions, workshops, and workable solutions"
207,French Government Disapproval of Birthcontrol,Babe1.2,Babe1.2,Oppression Report,NA,NA,NA,NA,NA,Paris,NA,FRA,San Francisco Chronicle,report of Mme. Georges Pompidou (first lady) supporting birth control freedom - against government's current disapproval that is having international repercussions as French women go to neighboring countries for care
208,Federal Court Challenge of Sexist Job Listings,Babe1.2,Babe1.2,"Advocacy,Protest Report",01,29,1970,Federal District Court,NA,NA,NA,USA,NA,woman seeking injunctions against San Francisco Newspaper Printing Company - publishes the Chronicle and Examiner - to stop listing ads based off sex
209,Wisconsin Re-Institutes Women's Curfew,Babe1.2,Babe1.2,Oppression Report,01,15,1970,University of Wisconsin,NA,NA,WI,USA,LNS,state board of regents voted to reinstate curfew for women starting Sep 1970 after they were abolished in 1968 - student association taking it to court
210,Telegraph Cinema Screenings,Babe1.2,Babe1.2,Event Advertisement,02,05,1970,Telegraph Cinemas,NA,Berkeley,CA,USA,NA,"advertisement for movie theatre running film ""The Miracle Worker"" on Helen Keller, socialist, as well as ""The Philadelphia Story"" where Audrey Hepburn plays the slave-goddess"
211,Testimony on Birth Control Safety,Babe1.3,Babe1.3,"Advocacy,Oppression Report",02,15,1970,U.S. Senate,NA,NA,DC,USA,LNS,report of testimony given by doctors in front of the Monopoly Subcommittee of the Senate Select Committee on Small Businesses regarding potential damaging side effects of birth control
212,Protest Candidate Barred from Miss Canadian University,Babe1.3,Babe1.3,Protest Report,01,27,1970,Waterloo Lutheran University,NA,Waterloo,ON,CAN,Pedestal,"Janiel Jolley, entering as a protest candidate, barred from participation so as to not embarrass other participants - planning to talk to other women"
213,GE Protest,Babe1.3,Babe1.3,Protest Report,NA,NA,NA,GE Ashland,NA,Ashland,MA,USA,"LNS,The Old Mole",strike demanding better treatment of women workers at GE - multi-union strike - hired for specific jobs but making up to 80% of entire plant employees
214,Crazy Minas Kidnapping Men for Secret Treatment,Babe1.3,Babe1.3,Protest Report,02,NA,1970,NA,NA,Amsterdam,NA,NLD,NA,"report of feminists who have been kidnapping men for a secret ""treatment"" announced plans to intensify attacks in the coming weekend in a drive for equality - no victims disclosing what happened"
215,Plans for Women's Center in San Diego,Babe1.4,Babe1.4,"Meeting Report,Call to Organize",NA,NA,NA,NA,NA,San Diego,CA,USA,NA,San Diego State Women's Liberation in conjunction with Committee for Women's Studies proposing plans for women's center to provide freedom and facilities for women to discover full potential - contact information for further detail
216,Demonstrations Supporting Judge Mast,Babe1.4,Babe1.4,"Protest Report,Advocacy",01,NA,1970,NA,NA,Orange County,CA,USA,NA,"NOW staged several demonstrations in support of Judge Mast who handed down judgement against CA abortion laws - later upheld by the supreme court, making CA abortion laws unconstitutional"
217,All Pakistan Women's Association Countering Appeals,Babe1.4,Babe1.4,"Protest Report,Oppression Report",NA,NA,NA,NA,NA,NA,NA,PAK,NA,"All Pakistan Women's Association leading the struggle for women's rights presently waging all out fight to counter the appeal of ""Moslem"" religious leaders to repeal the few legal advances women have won in the last 20 years"
218,Panther Sister Beaten,Babe1.4,Babe1.4,Oppression Report,02,16,1970,Niantic Prison,NA,New Haven,CT,USA,LNS,report of Black Panther Rose Smith of the Panther 14 beaten and knocked unconscious after protesting solitary confinement of another Panther woman - same woman who gave birth under armed guard the previous December - been in prison since May 1969
219,Ankara 6th Fleet Protest,Babe1.5,Babe1.5,Protest Report,04,06,1970,University of Ankara,NA,Ankara,NA,TUR,NA,"unexploded dynamite sticks found in 5 places in a US military offers club as protest against the visit of US 6th fleet ships broke out - more than 1000 female students issued statement of the visit, not allowing Turkey to become a brothel for American sailors"
220,Alderman Neuzina Lopez Rodriquez Barred from Office,Babe1.5,Babe1.5,Oppression Report,04,06,1970,NA,NA,Alvorada,NA,BRA,NA,"newly elected Alderman Neuzina Lopez Rodiguez, a widow, barred from taking office for six months because of her ""sex appeal"" to allow her to find a husband"
221,Postal Strike,Babe1.5,Babe1.5,Protest Report,NA,NA,NA,NA,NA,San Francisco,CA,USA,NA,listing of demands by women to the management and union - listing for anyone interested in participating
222,CBS Annual Executive Convention Protest,Babe1.6,Babe1.6,Protest Report,NA,NA,NA,NA,NA,San Francisco,CA,USA,NA,report of demonstration against CBS for its sexism in television and hiring - list of demands
223,Johnson Speech at American Women in Radio and Television,Babe1.6,Babe1.6,Meeting Report,04,27,1970,NA,NA,New York City,NY,USA,NA,Nicholas Johnson of the FCC gave speech of television casting contempt on American women
224,Grove Press Protest,Babe1.6,Babe1.6,"Protest Report,Oppression Report",04,13,1970,Grove Press,NA,New York City,NY,USA,LNS,"publisher of Evergreen Review and sex books - claiming to be new age of honesty and creative ferment - firing of union organizers, employment and benefit discrimination - protest of women barricading themselves to the executive suites, dragged out of building by cops - list of 9 arrested"
225,Newsweek Magazine Complaint/Protest,Babe1.6,Babe1.6,Protest Report,03,14,1970,NA,NA,New York City,NY,USA,NA,three groups of women took independent action against sexism and male supremacy in journalism - filed complained with EECO about Newsweek hiring and negotiations of demand for case
226,Ladies Home Journal Sit-In,Babe1.6,Babe1.6,Protest Report,03,18,1970,NA,NA,New York City,NY,USA,NA,"three groups of women took independent action against sexism and male supremacy in journalism - NOW and other groups staged 12 hour sit in at editor in chief's office demanding minimum wages, daycare, and hiring of more black people - resulted in agreement to negotiate and publish WL section"
227,Call for East Coast Media Women's Conference,Babe1.6,Babe1.6,Call to Organize,03,NA,1970,NA,NA,NA,NA,USA,Guardian,"women's causus of LNS sent letter to women in the movement and underground newspapers around the country calling for a conference to discuss aims, projects, and problems"
228,CBS Cafeteria Parade,Babe1.6,Babe1.6,Protest Report,NA,NA,NA,CBS,NA,New York City,NY,USA,LNS,30 women showed up in pants and some formed a cafeteria parade after memo dictating appropriate dress for women ruling out slacks
229,Letter to Secretary of Commerce Over Census Forms,Babe1.6,Babe1.6,Protest Report,NA,NA,NA,NA,NA,Berkeley,CA,USA,NA,"letter to Maurice Stans, secretary of Commerce - and carbon copy to President Nixon - Mimi Kaprolat, member of NOW, criticizes the national count form for allowing women no choice but to identify as a subordinate to head of household"
230,Rohr Corporation Law Suit,Babe1.6,Babe1.6,Advocacy,NA,NA,NA,NA,NA,Chula Vista,CA,USA,NA,suit filed against Rohr Corporation of Chula Vista for discriminating against male employees by not giving the same rest periods as women
231,Caterpillar Tractor and Bell Telephone Legal Steps,Babe1.6,Babe1.6,Advocacy,NA,NA,NA,NA,NA,NA,IL,USA,NA,Illinois Caterpillar Tractor Company and Bell Telephone taking legal steps to knock out a state law that limits women to an eight hour work day as discriminatory - leaving employers in the middle
